ID,year,job_id,job_type
1,1979,2,1
1,1981,2,1
2,1979,1,1
2,1980,1,1
2,1981,1,1
2,1982,1,1
2,1983,1,1
2,1984,1,1
2,1985,1,1
2,1986,1,1
2,1987,1,1
2,1988,1,1
2,1988,2,1
2,1989,1,1
2,1990,1,1
2,1991,1,1
2,1992,1,1
2,1993,1,1
2,2004,3,2
2,2006,3,2
2,2008,3,2
2,2010,3,2
2,2012,3,2
2,2016,3,-2
2,2016,4,2
2,2018,4,2
2,2014,3,2
3,1979,1,1
3,1979,2,2
3,1979,3,1
3,1980,3,1
3,1980,4,1
3,1980,5,1
3,1982,5,1
3,1985,6,1
3,1987,7,2
3,1988,9,3
3,1989,9,3
3,1990,9,3
3,1991,10,3
3,1992,10,3
3,1993,10,3
3,1998,11,1
3,1998,12,1
3,2000,13,3
3,2002,13,3
3,2002,14,3
3,2006,14,3
3,2006,15,3
3,2008,16,3
3,2012,16,3
3,2012,17,1
3,2016,17,1
3,2018,17,1
3,2018,19,1
3,2014,17,1
3,2014,18,3
4,1982,1,1
4,1986,2,1
4,1986,3,1
4,1986,4,1
4,1987,4,1
4,1987,5,1
4,1988,5,1
4,1989,5,1
4,1990,7,1
4,1992,7,1
4,1993,7,1
4,1993,8,1
4,1996,8,1
4,1996,9,1
4,1998,9,1
4,2016,9,1
4,2016,10,3
4,2016,11,3
4,2016,12,3
4,2016,13,1
4,2016,14,1
4,2016,15,3
4,2016,16,3
4,2018,15,3
4,2018,16,3
5,1979,1,1
5,1979,2,1
5,1980,1,1
5,1981,1,1
5,1981,4,2
5,1982,4,2
5,1983,5,2
5,1984,6,1
5,1986,7,1
5,1988,7,1
5,1988,8,1
5,1989,8,1
6,1979,1,1
6,1980,2,2
6,1981,4,1
6,1982,4,1
6,1982,6,2
6,1983,8,1
6,1984,9,1
6,1985,9,1
6,1985,10,1
6,1986,10,1
6,1987,10,1
6,1988,10,1
6,1989,10,1
6,1990,10,1
6,1991,10,1
6,1992,10,1
6,1993,10,1
6,1993,11,2
6,1994,11,2
6,1996,11,2
6,2000,11,5
6,2002,11,5
6,2004,11,5
6,2006,11,2
6,2008,11,2
6,2010,11,2
6,2012,11,2
6,2016,11,2
6,2018,11,2
6,2014,11,2
7,1980,1,2
7,1980,2,1
7,1981,2,1
7,1982,2,1
7,1982,4,1
7,1983,5,1
7,1992,7,1
7,1993,8,1
7,1994,8,1
7,1996,9,1
7,1998,9,1
7,2000,9,1
7,2002,9,1
7,2004,9,1
7,2006,10,1
7,2008,10,1
7,2010,11,1
8,1979,1,1
8,1980,1,1
8,1981,1,1
8,1982,1,1
8,1983,1,1
8,1984,1,1
8,1985,1,1
8,1985,2,-3
8,1986,3,1
8,1987,3,1
8,1987,4,1
8,1987,5,1
8,1988,7,1
8,1988,8,1
8,1989,8,1
8,1990,8,1
8,1991,8,1
8,1992,8,1
8,1993,8,1
8,1994,8,1
8,1996,8,1
8,1998,8,1
8,2000,8,1
8,2002,8,1
8,2004,8,1
8,2004,10,1
8,2006,8,1
8,2006,11,1
8,2008,11,1
8,2010,11,1
8,2012,11,1
8,2016,11,1
8,2018,11,1
8,2014,11,1
8,2014,14,-3
9,1979,1,1
9,1980,3,4
9,1981,3,1
9,1982,3,3
9,1983,3,1
9,1984,4,1
9,1985,4,1
9,1986,4,1
9,1987,4,1
9,1988,4,1
9,1989,4,1
9,1990,4,1
9,1991,4,1
9,1992,4,1
9,1993,4,1
9,1994,5,6
9,1996,5,6
9,1998,5,3
9,2000,5,3
9,2002,5,3
9,2004,5,3
9,2006,5,3
9,2008,5,3
9,2010,5,3
9,2012,5,3
9,2016,5,3
9,2014,5,3
10,1980,1,1
10,1981,1,1
10,1981,2,2
10,1982,2,1
10,1983,2,1
10,1983,3,1
10,1984,2,1
10,1985,4,1
10,1985,5,1
10,1988,6,1
10,1990,7,1
10,1991,7,1
10,1991,8,1
10,1992,8,1
10,1993,8,1
10,1994,8,1
10,1994,9,1
11,1979,1,1
11,1979,2,1
11,1981,1,1
11,1981,3,1
11,1982,4,2
11,1982,6,1
11,1983,4,1
11,1983,9,1
11,1984,10,1
11,1985,10,1
11,1989,10,1
11,1990,10,1
11,1991,10,1
11,1992,10,1
11,1993,10,1
11,1993,11,1
11,1994,11,1
11,1996,11,1
11,1998,12,1
11,1998,13,1
11,2000,13,1
11,2000,14,1
11,2002,14,1
11,2004,15,1
11,2004,16,1
12,1980,4,1
