ID,year,job_id,why_left
1,1979,1,3
2,1987,2,5
2,1993,1,4
2,2016,3,6
3,1979,1,5
3,1979,2,2
3,1980,3,5
3,1980,4,5
3,1981,5,4
3,1984,6,5
3,1986,7,4
3,1986,8,5
3,1987,9,1
3,1989,9,6
3,1993,10,6
3,1998,11,6
3,1998,12,6
3,2002,13,1
3,2006,14,1
3,2012,16,1
3,2018,17,5
3,2014,18,5
4,1981,1,1
4,1985,2,5
4,1985,3,5
4,1986,4,5
4,1988,5,2
4,1988,6,5
4,1993,7,4
4,1996,8,6
4,2016,9,-2
4,2016,10,-3
4,2016,11,-3
4,2016,12,-3
4,2016,13,2
4,2016,14,1
5,1979,2,5
5,1980,3,3
5,1980,4,3
5,1981,1,1
5,1981,4,1
5,1982,5,3
5,1983,6,3
5,1987,7,5
6,1979,1,5
6,1979,2,3
6,1979,3,5
6,1980,4,5
6,1980,2,5
6,1980,4,1
6,1980,5,1
6,1981,4,1
6,1982,6,1
6,1983,7,3
6,1984,9,5
6,1993,10,5
6,1996,12,4
7,1980,1,3
7,1980,3,5
7,1981,2,5
7,1982,4,5
7,1982,5,5
7,1989,6,6
7,1991,7,6
7,1992,7,6
7,1994,8,6
7,2008,10,1
7,2010,11,1
8,1980,1,5
8,1984,1,5
8,1986,3,5
8,1986,4,4
8,1987,5,5
8,1987,6,5
8,1987,7,1
8,2000,9,6
8,2004,10,1
8,2006,8,1
8,2008,12,5
8,2010,12,6
8,2012,13,1
8,2014,14,5
9,1980,1,1
9,1980,2,5
9,1983,3,3
9,1993,4,1
10,1980,1,5
10,1982,2,4
10,1983,2,6
10,1983,3,3
10,1984,4,4
10,1987,6,4
10,1991,7,5
10,1994,8,5
11,1979,1,5
11,1981,1,5
11,1981,4,3
11,1981,5,5
11,1981,7,5
11,1982,4,1
11,1982,6,1
11,1982,8,1
11,1982,9,5
11,1993,10,5
11,1996,11,1
11,1998,12,1
11,2000,13,6
11,2002,14,1
11,2004,15,1
11,2004,16,1
12,1979,1,5
12,1979,2,5
12,1979,3,5
12,1980,4,5
12,1980,5,5
13,1983,1,7
13,1984,2,5
13,1987,1,1
13,1993,3,5
13,1993,4,6
13,1994,8,1
13,2002,7,1
13,2006,9,6
14,1980,1,5
14,1980,2,2
14,1980,3,1
14,1981,3,1
14,1982,4,5
14,1983,3,3
14,1983,5,3
14,1984,5,1
14,1985,6,3
14,1985,7,5
14,1985,8,5
14,1987,9,5
14,1987,10,5
14,1987,11,5
14,1988,12,1
14,1989,13,1
14,1989,14,1
14,1992,16,6
14,1994,15,1
14,1996,17,6
14,1996,18,5
14,1996,19,5
14,2000,20,6
14,2008,21,1
14,2008,22,-3
14,2008,23,-3
14,2016,25,5
14,2016,26,1
14,2014,24,6
15,1980,1,5
15,1980,2,1
15,1981,1,5
15,1982,3,5
15,1983,4,3
15,1984,4,5
15,1986,5,5
15,1987,6,5
15,1993,8,6
15,1998,9,6
16,1980,1,5
16,1980,2,5
16,1980,3,5
16,1980,4,5
16,1984,6,1
16,1986,5,5
16,1987,7,5
16,1987,9,5
16,2004,8,5
16,2010,10,5
16,2010,11,5
16,2016,13,1
17,1982,1,5
17,1984,2,5
17,1984,4,5
17,1986,5,5
17,1988,6,5
17,1988,7,5
17,1989,3,1
17,1992,7,6
17,1993,7,6
17,1994,10,5
17,1996,7,1
17,2000,11,5
18,1979,1,5
18,1980,2,5
18,1986,3,5
19,1979,1,5
19,1979,2,5
19,1979,3,5
19,1980,4,5
19,1980,5,4
19,1980,6,5
19,1981,7,5
19,1981,8,1
19,1983,9,2
19,1986,10,5
20,1979,1,5
20,1979,2,3
20,1979,3,5
20,1980,4,5
20,1980,5,3
20,1980,6,3
20,1980,7,1
20,1983,8,1
20,1984,9,5
20,1991,10,1
20,1996,12,1
21,1979,1,6
21,1981,4,1
21,1981,5,5
21,1982,6,1
21,1982,7,5
21,1983,8,7
21,1983,9,1
21,1984,10,5
21,1985,11,5
21,1985,12,5
21,1985,13,1
21,1986,15,5
21,1987,14,5
21,1987,16,5
21,1992,17,5
21,1996,19,3
21,1996,20,3
21,1998,18,1
21,1998,21,5
21,1998,22,6
21,2000,23,6
21,2006,24,1
21,2006,25,5
21,2012,26,1
22,1980,1,5
22,1980,3,2
22,1980,4,1
22,1981,5,5
22,1982,2,5
22,1982,6,1
22,1984,9,3
22,1984,10,3
22,1984,11,5
22,1984,12,1
22,1985,13,5
22,1986,14,-3
22,1986,15,-3
22,1986,16,1
22,1987,17,5
22,1988,19,1
22,1992,20,1
22,1996,18,6
22,1996,21,6
22,1996,22,6
22,1996,23,6
22,2002,24,6
22,2004,25,2
22,2004,26,1
22,2006,27,6
22,2010,24,6
22,2012,29,1
22,2014,28,5
23,1979,1,5
23,1980,2,5
23,1980,2,5
23,1980,3,1
23,1981,4,-3
23,1991,5,5
23,1991,6,5
24,1979,1,5
24,1979,2,5
24,1980,3,5
24,1980,4,5
24,1980,5,5
24,1982,6,5
24,1984,7,5
24,1984,8,5
24,1984,9,5
24,1986,10,5
24,1998,11,6
25,1979,1,5
25,1979,2,5
26,1979,1,3
26,1979,2,5
26,1980,3,1
26,1980,3,3
26,1980,4,5
26,1981,5,1
26,1982,6,1
26,1983,3,7
26,1983,7,7
26,1984,7,5
27,1979,1,5
27,1980,2,5
27,1980,3,2
27,1980,4,5
27,1981,5,5
27,1983,6,7
27,1984,7,5
27,1985,8,5
27,1994,9,6
27,1998,10,6
27,2000,11,6
27,2010,13,1
27,2012,13,1
27,2012,14,1
27,2014,15,1
28,1980,1,1
28,1980,2,5
28,1981,3,5
28,1981,5,2
28,1982,4,5
28,1983,6,7
28,1986,7,5
28,1986,8,5
28,1991,9,5
28,1996,11,5
28,1998,12,5
28,2010,13,5
28,2010,14,5
29,1980,1,5
29,1993,4,6
29,2006,5,1
29,2008,2,5
29,2014,6,5
30,1979,1,5
30,1980,2,5
30,1981,3,5
30,1987,4,4
31,1980,1,1
31,1982,2,1
31,1984,3,1
31,1986,4,5
31,1986,5,5
31,1986,6,1
31,1987,7,5
31,1989,8,5
31,1989,9,5
31,2000,10,6
31,2000,11,5
31,2016,13,5
31,2014,12,6
32,1980,3,1
32,1980,4,5
32,1980,5,5
32,1980,6,1
32,1981,7,5
32,1981,8,5
32,1982,9,5
32,1982,10,5
32,1983,11,7
32,1983,12,7
32,1985,13,5
32,1986,14,5
32,1986,15,5
32,1988,16,5
32,1992,17,4
32,1996,18,6
32,2010,20,5
33,1979,1,3
33,1991,2,2
33,2006,3,6
34,1979,1,5
34,1979,2,5
34,1979,3,5
34,1980,4,1
34,1980,5,5
34,1980,7,1
34,1981,8,5
34,1983,6,7
34,1984,9,5
34,1984,10,5
34,1985,11,5
34,1987,12,5
34,1988,13,1
34,1989,13,1
34,1989,14,6
34,1996,15,5
34,1996,16,6
34,1996,17,6
34,1998,19,1
34,2008,20,1
34,2008,22,5
34,2012,21,1
34,2014,23,5
35,1984,1,5
35,1996,2,6
36,1979,1,5
36,1980,2,5
36,1981,3,1
36,1981,4,3
36,1981,5,5
36,1982,6,5
36,1983,7,7
36,1984,8,5
36,1984,9,5
36,1986,10,5
36,1988,14,5
36,1994,13,5
36,2010,16,1
37,1980,2,5
37,1982,1,5
37,1989,3,4
38,1981,1,5
38,1983,2,4
38,1985,4,1
38,1985,5,5
38,1986,3,5
38,1989,7,6
38,1993,8,1
38,1996,8,5
38,1998,9,6
39,1979,1,6
39,1979,2,5
39,1979,3,5
39,1980,5,5
39,1980,6,5
39,1980,7,5
39,1981,8,5
39,1981,10,2
39,1984,11,5
39,1984,12,5
39,2004,13,5
39,2004,14,5
39,2006,15,6
40,1979,1,6
40,1979,2,5
40,1980,1,5
40,1980,3,5
40,1980,4,6
40,1980,5,5
40,1983,6,7
40,1986,7,5
40,1989,9,1
40,1991,10,1
40,1992,10,6
40,1993,10,1
40,1994,12,1
40,1996,13,1
40,2004,14,6
40,2004,15,6
40,2008,11,5
40,2010,16,1
40,2010,17,6
40,2012,17,6
40,2018,20,5
40,2014,18,1
40,2014,19,1
41,1979,1,5
41,1979,2,5
41,1979,3,5
41,1980,4,5
41,1980,5,5
41,1980,6,5
41,1981,7,5
41,1981,8,3
41,1985,9,5
41,1985,10,5
41,1987,11,5
42,1980,1,5
42,1980,2,5
42,1981,2,1
42,1982,2,5
42,1982,3,5
42,1983,4,7
42,1985,5,5
42,1989,6,1
42,1992,7,5
42,2006,8,1
43,1980,1,4
43,1980,2,5
43,1980,3,2
43,1980,4,5
